First Name [Required],Last Name [Required],Email Address [Required],Password [Required],Password Hash Function [UPLOAD ONLY],Org Unit Path [Required],New Primary Email [UPLOAD ONLY],Recovery Email,Home Secondary Email,Work Secondary Email,Recovery Phone [MUST BE IN THE E.164 FORMAT],Work Phone,Home Phone,Mobile Phone,Work Address,Home Address,Employee ID,Employee Type,Employee Title,Manager Email,Department,Cost Center,Building ID,Floor Name,Floor Section,Change Password at Next Sign-In,New Status [UPLOAD ONLY],Advanced Protection Program enrollment
Michael,Moyer,michael.moyer784@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christine,Davis,christine.davis843@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nathan,Mullen,nathan.mullen187@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Daniel,Castro,daniel.castro465@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Cody,Hill,cody.hill658@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brittany,Phillips,brittany.phillips413@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ryan,Gordon,ryan.gordon96@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nicole,Kim,nicole.kim416@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeffery,Cooley,jeffery.cooley929@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kelly,Wilson,kelly.wilson361@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Alexandra,Allen,alexandra.allen736@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amanda,Page,amanda.page986@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Daniel,Mercer,daniel.mercer509@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Heather,Mcintosh,heather.mcintosh202@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Donald,Myers,donald.myers215@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Henry,Goodman,henry.goodman582@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Elizabeth,Clark,elizabeth.clark423@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Mark,Johnson,mark.johnson471@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lisa,Gray,lisa.gray807@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Cynthia,Scott,cynthia.scott40@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Charles,Bradshaw,charles.bradshaw276@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rebecca,Gray,rebecca.gray390@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Burgess,david.burgess127@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeffery,Marsh,jeffery.marsh319@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Allison,Woodward,allison.woodward483@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Henry,Branch,henry.branch210@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Penny,Smith,penny.smith360@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Andrew,Glenn,andrew.glenn215@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jacqueline,Campbell,jacqueline.campbell503@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jose,Hendricks,jose.hendricks679@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jasmine,Booth,jasmine.booth849@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Richard,Mccullough,richard.mccullough928@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rebecca,James,rebecca.james155@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Thomas,Marquez,thomas.marquez836@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Angela,Wiggins,angela.wiggins931@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Karen,Duran,karen.duran678@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Timothy,Wilson,timothy.wilson176@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Andrea,Hill,andrea.hill294@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jennifer,Leonard,jennifer.leonard713@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michael,Walsh,michael.walsh118@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ralph,Smith,ralph.smith117@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Teresa,Clark,teresa.clark280@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Annette,Rodriguez,annette.rodriguez957@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Peggy,Rivera,peggy.rivera238@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Melissa,Watson,melissa.watson152@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Courtney,Moore,courtney.moore270@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Eileen,Garcia,eileen.garcia806@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amy,Hoffman,amy.hoffman372@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Albert,Cardenas,albert.cardenas264@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Dale,Sanchez,dale.sanchez156@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rachel,Wong,rachel.wong182@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michael,Snyder,michael.snyder87@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rachel,Trevino,rachel.trevino328@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Hayes,david.hayes389@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Cristian,Harris,cristian.harris249@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amanda,Garcia,amanda.garcia985@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Rebecca,Wood,rebecca.wood657@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Robin,Ritter,robin.ritter654@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Crystal,Johnson,crystal.johnson780@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brian,Jackson,brian.jackson934@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
James,Conner,james.conner841@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gregory,Fields,gregory.fields294@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michael,Martin,michael.martin135@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
April,Khan,april.khan197@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Elizabeth,Ponce,elizabeth.ponce973@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeremy,Johnson,jeremy.johnson310@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Timothy,Miller,timothy.miller634@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Steven,Norris,steven.norris998@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Megan,Snyder,megan.snyder65@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Renee,Cook,renee.cook570@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Bethany,Baker,bethany.baker189@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Allen,david.allen255@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gabriella,Reid,gabriella.reid71@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Renee,Wells,renee.wells688@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Spencer,Foster,spencer.foster163@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Daniel,Turner,daniel.turner22@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Eric,Hampton,eric.hampton249@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Cory,Lucero,cory.lucero932@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Justin,Hill,justin.hill689@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jesse,Martin,jesse.martin437@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Glenn,Wallace,glenn.wallace409@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Gregory,Rogers,gregory.rogers947@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Louis,Walker,louis.walker955@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Andres,Jackson,andres.jackson235@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Crystal,Sanders,crystal.sanders169@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Sharon,Hernandez,sharon.hernandez21@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Dorothy,Waters,dorothy.waters309@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kim,Smith,kim.smith148@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christine,Espinoza,christine.espinoza412@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephanie,Knight,stephanie.knight932@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Frederick,Jones,frederick.jones735@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jennifer,Brooks,jennifer.brooks165@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Margaret,Jennings,margaret.jennings345@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amanda,Tanner,amanda.tanner482@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeffrey,Carter,jeffrey.carter584@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeremiah,Moore,jeremiah.moore852@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
John,Frazier,john.frazier53@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christopher,Guerrero,christopher.guerrero665@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Cynthia,Thompson,cynthia.thompson470@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christopher,Santiago,christopher.santiago272@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Erin,Jimenez,erin.jimenez398@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Erik,Douglas,erik.douglas777@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Todd,Campos,todd.campos353@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jessica,Walker,jessica.walker306@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Phillip,Lopez,phillip.lopez939@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jason,Harris,jason.harris572@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Susan,Juarez,susan.juarez144@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Joshua,Mckay,joshua.mckay108@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Matthew,Meadows,matthew.meadows695@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Tamara,Dunn,tamara.dunn663@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brian,Conrad,brian.conrad119@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brittany,Evans,brittany.evans635@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Holly,Jimenez,holly.jimenez333@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jesus,Brown,jesus.brown265@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kevin,Love,kevin.love552@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Harold,Lamb,harold.lamb695@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brenda,Barnes,brenda.barnes384@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Christine,Woods,christine.woods515@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Marcus,Garcia,marcus.garcia842@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Alan,Myers,alan.myers257@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Daniel,Mcdaniel,daniel.mcdaniel124@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jay,Long,jay.long392@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jessica,Vega,jessica.vega931@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lisa,Collins,lisa.collins57@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Laura,Patterson,laura.patterson143@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Catherine,Williams,catherine.williams754@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Carl,Williamson,carl.williamson89@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Edward,Harris,edward.harris111@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brandi,Alvarado,brandi.alvarado594@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Keith,Silva,keith.silva515@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jeremy,Leonard,jeremy.leonard404@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ronnie,Wilson,ronnie.wilson941@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jason,Sullivan,jason.sullivan206@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lisa,Harrell,lisa.harrell146@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Lauren,Lindsey,lauren.lindsey763@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Aaron,Freeman,aaron.freeman54@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
John,Tran,john.tran745@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Nicole,Fowler,nicole.fowler831@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Tracey,Brown,tracey.brown516@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Thomas,Dean,thomas.dean2@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Dawn,Garcia,dawn.garcia618@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amanda,Monroe,amanda.monroe108@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Ashley,Jackson,ashley.jackson738@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Tammy,Hess,tammy.hess932@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amanda,Brewer,amanda.brewer617@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Pamela,Lopez,pamela.lopez408@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Stephanie,Miranda,stephanie.miranda222@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Natalie,Hill,natalie.hill112@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
David,Holland,david.holland868@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Alexander,Sloan,alexander.sloan109@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Alexander,Nichols,alexander.nichols446@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Theresa,Kelley,theresa.kelley903@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michelle,Rogers,michelle.rogers226@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Paul,Wells,paul.wells648@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brooke,Robinson,brooke.robinson557@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Miguel,Rivera,miguel.rivera556@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Antonio,Webb,antonio.webb825@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Jonathan,Shelton,jonathan.shelton377@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Dana,Sexton,dana.sexton76@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Brenda,Brown,brenda.brown668@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Tiffany,Harris,tiffany.harris675@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
James,Beasley,james.beasley182@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Amanda,Randolph,amanda.randolph445@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michael,Montoya,michael.montoya967@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Peter,Owens,peter.owens429@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Raymond,Clayton,raymond.clayton649@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Kristina,Vincent,kristina.vincent712@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Michael,Perez,michael.perez291@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Grace,Dawson,grace.dawson956@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Patricia,Anderson,patricia.anderson825@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Linda,Wright,linda.wright908@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
Cindy,Tyler,cindy.tyler121@digit.waikatoanimaloutreach.space,Ge3yAgSFYCaQ8c7,,/,,,,,,,,,,,,,,,,,,,,False,,False
